Показатель;Единица измерений;Результат анализа;Норматив
pH;единицы pH;8.4;в пределах 6-9
Запах;баллы;1;не более 2-3
Цветность;градусы;б/цвета;не более 30
Жёсткость;мг-эквл/дм3;9.199999999999999;в пределах 7-10
Аммиак и аммоний-ион (по азоту);мг/дм3;0.42;не более 1,5
Нитриты (по NO2);мг/дм3;0.017;не более 3,3
Нитраты (по NO3);мг/дм3;24;не более 45
Фосфаты (P);мг/дм3;0.36;не более 3,5
Хлориды (Cl);мг/дм3;200;не более 350
Сульфаты (SO4);мг/дм3;189.5;не более 500
Железо (включая хлорное железо) по Fe;мг/дм3;0.019;не более 0,3
Нефть;мг/дм3;0.55;не более 0,3
Общая минерализация (сухой остаток);мг/дм3;590;не более 1000
Окисляемость перманганатная;мг/дм3;2;не более 0,5
